website,domain,phones,addresses,status,retries,facebook_links,instagram_links,youtube_links,twitter_links,linkedin_links,error
http://outforlifeministries.com,outforlifeministries.com,[],[],success,0,,,,,,
http://postmodern-strings.com,postmodern-strings.com,"['9562806706', '20220711']",[],success,0,,,,,,
http://kns-construction.com,kns-construction.com,['2032318300'],[],success,0,,,,,,
http://thestonenc.com,thestonenc.com,[],[],success,0,['facebook.com/thestonenc'],['instagram.com/thestonech'],['youtube.com/channel/UCeyl5O3CXdtA4W9HoKmEkIw'],,,
http://kansaslimousin.org,kansaslimousin.org,"['6204325056', '1235892853935518', '6671062043']",[],success,0,['facebook.com/groups'],,,,,
http://techbarstore.com,techbarstore.com,[],[],success,0,,,,,,
http://timothyburger.com,timothyburger.com,[],[],success,0,,,,,,
http://ohanaconsulting.net,ohanaconsulting.net,['9492307919'],[],success,0,,,,,,
http://timent.com,timent.com,[],[],success,0,,,,,,
http://cumberland-river.com,cumberland-river.com,[],[],success,0,,,,,,
http://dolee-rentals.com,dolee-rentals.com,"['2293445037', '2294369620']","['1001 W Oglethorpe Blvd, Albany, GA 31701']",success,0,['facebook.com/DoLee-Rentals-Inc-141860142549724'],,,['twitter.com/DexYPHQ'],,
http://kkcger.com,kkcger.com,[],[],success,0,,,,,,
http://trueaudio.com,trueaudio.com,['19902024'],[],success,0,,,,,,
http://mazautoglass.com,mazautoglass.com,"['9412441562644', '4156264474']","['230 Bayshore Blvd.San Francisco, CA 94124']",success,0,,,,,,
http://nashvilleucc.org,nashvilleucc.org,['9376985867'],[],success,0,,,,,,
http://tlalocrivas.com,tlalocrivas.com,[],[],success,0,['facebook.com/tlalocnyc'],['instagram.com/tlalocnyc'],,['twitter.com/TlalocRivas'],['linkedin.com/in/tlaloc-rivas-2a6b2610'],
http://phack.org,phack.org,['20232022'],[],success,0,['facebook.com/PHackCon'],['instagram.com/pacifichackersca'],,['twitter.com/PHackCon'],['linkedin.com/company/pacific-hackers-conference'],
http://venturemediaagency.com,venturemediaagency.com,['7325354027'],[],success,0,['facebook.com/venturemediadigital'],['instagram.com/venturemediadigital'],,,,
http://smilesbygateway.com,smilesbygateway.com,"['8178586333', '817858633', '81785863']","['4013 Gateway Drive\nColleyville, TX 76034']",success,0,,,,,,
http://solarecon.wordpress.com,solarecon.wordpress.com,[],[],success,0,,,,,,
http://garrettwietholter.com,garrettwietholter.com,"['178738958', '617100001', '3178733230', '3096225001', '178733230']",[],success,0,['facebook.com/153341281385570'],,,,['linkedin.com/in/garrett-wietholter-b5037a88'],
http://takapartners.com,takapartners.com,[],[],success,0,,,,,,
http://samantharaiderbrown.com,samantharaiderbrown.com,[],[],success,0,['facebook.com/WordPresscom'],,,,,
http://completecaredevelopmentcenter.com,completecaredevelopmentcenter.com,"['5137612232', '5139104998']",[],success,0,['facebook.com/CompleteCareDevelopment'],,,,,
http://plumbingbydlt.com,plumbingbydlt.com,[],[],success,0,['facebook.com/Plumbing-By-DLT-217036568422674'],,,,,
http://airprofork.com,airprofork.com,[],[],success,0,['facebook.com/2008'],"['instagram.com/p', 'instagram.com/t51.2885-19', 'instagram.com/airprofork']",,,,
http://iam-boeing.com,iam-boeing.com,[],[],success,0,,,,,,
http://kelleyroadrace.com,kelleyroadrace.com,[],[],success,0,,,,,,
http://candybartending.com,candybartending.com,[],[],success,0,['facebook.com/Candythebartender'],['instagram.com/candybar_bartender'],,,,
http://roux30a.com,roux30a.com,['8502130899'],[],success,0,['facebook.com/Roux30a'],['instagram.com/roux30a'],,,,
http://bostonzen.org,bostonzen.org,[],[],success,0,['facebook.com/GreaterBostonZenCenter'],,,,,
http://rlosrivera.com,rlosrivera.com,[],[],success,0,,,,,,
http://monahanclinics.com,monahanclinics.com,"['9048248353', '321773863282710', '320809048248353', '904824835']",[],success,0,"['facebook.com/tr', 'facebook.com/MonahanClinics']",['instagram.com/monahanchiro_medical'],,,,
http://kaleofamilies.org,kaleofamilies.org,[],[],success,0,,,,,,
http://creativebusinessassociates.com,creativebusinessassociates.com,[],[],success,0,['facebook.com/paula.easton'],,,,,
http://top-salon-hair-salon.business.site,top-salon-hair-salon.business.site,[],[],success,0,,,,,,
http://melatee.com,melatee.com,[],[],success,0,,,,,,
http://mendiolagardening.com,mendiolagardening.com,[],[],success,0,,,,,,
http://topcropalliance.com,topcropalliance.com,['8126140436'],[],success,0,['facebook.com/topcropagronomy'],,['youtube.com/channel/UC2h_3DFpDphhql_88XXLnxg'],['twitter.com/brianbbbush'],,
http://cancersupportdelaware.org,cancersupportdelaware.org,"['197093027340898', '198073029952850', '199043027340898', '199713026459150']","['812 S Bradford St\nDover, DE 19904']",success,0,['facebook.com/CancerSupportDE'],['instagram.com/cancersupportde'],,['twitter.com/CancerSupportDE'],['linkedin.com/company/cancer-support-community-delaware'],
http://verdantporch.com,verdantporch.com,[],[],success,0,,,,,,
http://maddux.pro,maddux.pro,[],[],success,0,,,,,,
http://philstreeppc.com,philstreeppc.com,[],[],success,0,,,,,,
http://potomaccanine.com,potomaccanine.com,['19992025'],[],success,0,,,,,,
